Countries,Brunei Darussalam,Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Philippines,Singapore,Thailand,Viet Nam
2007,7653241144.26,3905534351.38,114100890751.00,381875797.42,176205639132.00,5933382564.52,50465723919.00,301298406890.72,153571126168.00,48288918206.75
2008,10267964569.13,4358542564.94,137020424402.00,827711018.76,194495911378.88,6620559586.16,49025391912.00,339875160247.38,174966659503.31,61777847270.82
2009,7151970059.62,4985797439.65,116509991781.00,1237157718.17,156890871574.66,6341462150.95,38334655531.00,270145301278.79,152497202589.00,56691031715.68
2010,8837178813.24,3825902657.46,157779103470.00,1908744656.51,198612140591.69,7871068396.22,51431703405.00,353242611500.93,193298141941.20,72236663138.82
2011,12440507595.32,5121058659.64,203496626408.00,1898021883.39,228086016535.14,7418904930.98,48042193206.00,416202051237.65,222579123577.46,96905673977.00
2012,13180600609.04,5158198661.85,190031845232.00,1597135450.12,227544077244.26,8374815859.20,51995237988.00,415613947203.42,229529278186.21,114510733701.00
2013,11445574182.88,6665865414.36,182551798697.00,2987771796.00,228223394954.32,11232890753.37,53978267908.00,419936722202.00,228730224139.12,132664094199.50
2014,10584141313.88,6748663680.24,175979986988.00,2572201001.07,233927349148.71,11030641921.37,62101619193.00,415377838202.07,227573581585.80,148091500613.03
2015,6353924085.11,8557710164.85,150282256895.35,2985098264.94,199157940658.77,11605173008.50,58648377604.00,357905858906.38,214396234864.10,162013852036.00
2016,4873790407.55,10073128903.32,145186211246.43,3124177070.62,189414342638.40,11509329176.08,56312889212.00,338083175541.25,215326624050.75,176575077826.52